Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Total_Academic_Marks,Discipline_Index,Routine_Status,Instructor_Marks_75,Doctor_Marks_25,Total_Marks_100,Final_Risk_Level,y,Closest_Historical_Peer_ID
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,59.61,73.69,53.17,73.4,62.84,59.8865,F,10.3,Yes,No,Master's,Medium,1,5.9,303.71000000000004,74.31222222222222,Optimal,44.984,18.578055555555554,63.56205555555556,Medium Risk,1,S4477
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,57.27,74.0,74.23,98.23,88.0,98.23,81.917,B,27.1,No,No,High School,Low,4,4.3,415.96,75.62194444444444,Optimal,63.417,18.90548611111111,82.32248611111112,No Risk,2,S2246
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,63.85,85.85,50.0,4.699999999999999,91.22,67.717,D,12.4,Yes,No,High School,Low,9,6.1,273.61,54.93555555555555,Balanced,51.7545,13.733888888888888,65.48838888888889,Medium Risk,1,S2848
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,44.44,68.1,66.27,4.2,55.48,51.6535,F,25.5,No,Yes,High School,Low,8,4.9,239.7,63.01166666666667,Balanced,40.543499999999995,15.752916666666668,56.29641666666666,High Risk,0,S2448
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,61.77,67.66,83.98,64.3,87.43,71.403,C,13.3,Yes,No,Master's,Medium,6,4.5,356.5,49.54694444444445,Balanced,55.9605,12.386736111111112,68.34723611111112,Medium Risk,1,S5290
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,70.21,64.48,87.85,52.26,54.8,67.65,68.09,D,25.3,Yes,No,,Medium,6,5.6,332.77,62.900000000000006,Balanced,51.97,15.725000000000001,67.695,Medium Risk,1,S1551
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,93.74,89.0,54.17,15.5,87.51,82.8575,B,22.1,Yes,No,Bachelor's,High,2,4.0,337.03,68.5025,Optimal,59.4225,17.125625,76.548125,No Risk,2,S5724
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,59.47,50.72,53.83,54.8,90.04,71.36850000000001,C,16.7,Yes,Yes,,Low,5,7.8,341.11,65.94972222222222,Optimal,56.501,16.487430555555555,72.98843055555555,Medium Risk,1,S2662
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,76.97,62.75,57.19,79.08,97.4,57.57,65.8605,D,18.1,No,Yes,PhD,High,9,4.8,368.21,55.651944444444446,Balanced,50.173,13.912986111111111,64.08598611111111,Medium Risk,1,S3317
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,86.97,60.65,94.8,63.1,83.09,82.75550000000001,B,9.4,Yes,No,,High,8,7.1,397.33,55.47361111111111,Balanced,61.013,13.868402777777778,74.88140277777778,Medium Risk,1,S4274
